,word1,word2,freq
0,대상,홍삼,10
1,소비자,홍삼,10
2,성분,홍삼,10
3,분쇄,홍삼,10
4,제공,홍삼,10
5,프린트,홍삼,10
6,세계,홍삼,10
7,복합,홍삼,10
8,점제,홍삼,10
9,관심,홍삼,10
10,세포,홍삼,10
11,보존료,홍삼,10
12,자료,홍삼,10
13,감미료,홍삼,10
14,학회지,홍삼,10
15,기간,홍삼,10
16,별도,홍삼,10
17,일반,홍삼,10
18,소양,홍삼,10
19,변환,홍삼,10
20,인컴,홍삼,10
21,금지,홍삼,10
22,인증,홍삼,10
23,한국,홍삼,10
24,배포,홍삼,10
25,인공,홍삼,10
26,소포제,홍삼,10
27,발효,홍삼,10
28,제조,홍삼,10
29,관리,홍삼,10
30,분자,홍삼,10
31,제품,홍삼,10
32,케이,홍삼,10
33,경우,홍삼,10
34,사이드,홍삼,10
35,특징,홍삼,10
36,경제,홍삼,10
37,추석,홍삼,10
38,섭취,홍삼,10
39,최종,홍삼,10
40,최대,홍삼,10
41,고객,홍삼,10
42,사용,홍삼,10
43,초미세,홍삼,10
44,파운드,홍삼,10
45,체질,홍삼,10
46,체내,홍삼,10
47,비타민,홍삼,10
48,고분자,홍삼,10
49,사진,홍삼,10
50,처리,홍삼,10
51,차이,홍삼,10
52,진세,홍삼,10
53,분해,홍삼,10
54,프로모션,홍삼,10
55,공법,홍삼,10
56,지용성,홍삼,10
57,한국인,홍삼,10
58,구매,홍삼,10
59,시설,홍삼,10
60,스틱,홍삼,10
61,형태,홍삼,10
62,나머지,홍삼,10
63,실시,홍삼,10
64,행사,홍삼,10
65,단전,홍삼,10
66,영양,홍삼,10
67,선물,홍삼,10
68,향료,홍삼,10
69,도효,홍삼,10
70,생산,홍삼,10
71,함유,홍삼,10
72,식물,홍삼,10
73,아시아,홍삼,10
74,용량,홍삼,10
75,문혜원,홍삼,10
76,유통,홍삼,10
77,미생물,홍삼,10
78,소화,홍삼,10
79,혜택,홍삼,10
80,반영,홍삼,10
81,홍삼,흡수,10
82,홍삼,효소,10
83,사포닌,홍삼,10
84,식품,홍삼,10
85,안전,홍삼,10
86,마일드,홍삼,10
87,안심,홍삼,10
88,핵심,홍삼,10
89,할인,홍삼,10
90,기사,홍삼,10
91,다음,홍삼,10
92,기한,홍삼,10
93,공법,파운드,9
94,처리,파운드,9
95,비타민,파운드,9
96,안심,파운드,9
97,차이,파운드,9
98,체내,파운드,9
99,다음,파운드,9
100,도효,파운드,9
101,소화,파운드,9
102,고분자,파운드,9
103,추석,파운드,9
104,특징,파운드,9
105,경제,파운드,9
106,대상,파운드,9
107,케이,파운드,9
108,식품,파운드,9
109,실시,파운드,9
110,사이드,파운드,9
111,최종,파운드,9
112,체질,파운드,9
113,고객,파운드,9
114,최대,파운드,9
115,단전,파운드,9
116,아시아,파운드,9
117,진세,파운드,9
118,사용,파운드,9
119,초미세,파운드,9
120,안전,파운드,9
121,분자,파운드,9
122,분해,파운드,9
123,금지,파운드,9
124,미생물,파운드,9
125,별도,파운드,9
126,시설,파운드,9
127,경우,파운드,9
128,소양,파운드,9
129,일반,파운드,9
130,변환,파운드,9
131,인컴,파운드,9
132,기사,파운드,9
133,자료,파운드,9
134,인증,파운드,9
135,스틱,파운드,9
136,배포,파운드,9
137,소포제,파운드,9
138,반영,파운드,9
139,기간,파운드,9
140,인공,파운드,9
141,발효,파운드,9
142,구매,파운드,9
143,유통,파운드,9
144,마일드,파운드,9
145,문혜원,파운드,9
146,지용성,파운드,9
147,제품,파운드,9
148,관리,파운드,9
149,성분,파운드,9
150,나머지,파운드,9
151,제조,파운드,9
