article,code
2021.7.25.참다한홍삼100%순수홍삼액‘홍삼眞프리미엄’참다한홍삼100%순수홍삼액‘홍삼眞프리미엄’백주원기자jwpaik@sedaily.com2021-01-2905:10:00경제동향프리미엄홍삼브랜드참다한홍삼이선보인‘홍삼眞(진)프리미엄’은한약재를부원료로사용하는일반홍삼액과다르게오로지홍삼만100%그대로갈아넣은것이특징이다.홍삼이외에그어떤부원료나첨가물도사용하지않음으로써홍삼고유의깊은맛과영양을더욱진하게느낄수있으며한약에거부감이있는사람도안심하고섭취할수있다.특히홍삼을물에달이지않고통째로갈아넣은‘온체식’방식으로제작돼뛰어난품질을자랑한다.일반물달임홍삼액은홍삼전체영양분중56.4%의수용성성분만담겨있으나온체식의경우물달임에서버려지던홍삼박(홍삼건더기)속43.6%의불용성영양분까지모두담아낼수있다.아울러참다한홍삼진프리미엄은핵심성분인진세노사이드함량도높다.제품1포당진세노사이드가20㎎으로식약처일일권장섭취량(3㎎이상)을크게웃돈다.이밖에참다한은온체식홍삼을만들때분말의크기를초미세하게만들어흡수율도극대화시켰다.초미세홍삼분말은식물세포보다작은7~8㎛사이즈로몸안에홍삼영양소를분해하는효소가없는경우에도흡수가잘되도록도와준다.https://www.sedaily.com/News/NewsView/NewsPrint?Nid=22HFZQH9901/2x0c2021.7.25.참다한홍삼100%순수홍삼액‘홍삼眞프리미엄’참다한관계자는“참다한홍삼진프리미엄은가당색소방부제등의첨가물은물론한약재도들어있지않기때문에홍삼본연의맛과영양을찾으시는분들께추천한다”고말했다./백주원기자jwpaik@sedaily.com<저작권자ⓒ서울경제무단전재및재배포금지>https://www.sedaily.com/News/NewsView/NewsPrint?Nid=22HFZQH9902/2x0c',높음
2021.7.25.서울신문갱년기여성을위한홍삼·석류농축액입력:2020-11-1720:28ㅣ수정:2020-11-1801:26▲갱년기여성건강에도움을주는KGC인삼공사의정관장‘화애락진’.KGC인삼공사제공여성평균49세전후로나타나는갱년기는여성호르몬의결핍과불균형때문에발생한다.홍삼은면역력증진피로회복혈행흐름개선기억력개선항산화뿐아니라갱년기여성건강에도도움을준다.KGC인삼공사의정관장‘화애락’(和愛樂)은여성의‘화목한삶(和)사랑하는삶(愛)즐거운삶(樂)’을함께한다는뜻을담아만들어진여성전문홍삼브랜드다.2030여성들의생기있는하루를위한제품‘화애락이너제틱’바쁜직장생활과육아로지쳐가는여성들을위한‘화애락본’갱년기여성을위한’화애락진‘갱년기이후의품격있는황후기를위한‘화애락후’등다양한생애주기별라인업을갖추고있다.이가운데‘화애락진’은6년근홍삼에녹용과당귀작약과여성에게좋은석류농축액등의엄선한부원료를조화시켜갱년기극복에도움을줄수있는제품이다.하종훈기자artg@seoul.co.krCopyrightⓒ서울신문사Allrightsreserved.https://www.seoul.co.kr/news/seoulPrintNew.php?id=202011180190141/1x0c',높음
"""2021.7.25.AJU닫기“농부의마음담았다”…파머스현건강·유기농식품선보여고려활기배도라지홍삼·유기농베리진등식품눈길조재형xa0기자(grind@ajunews.com)|입력:2020-11-1609:00|수정:2020-11-1304:09[사진=파머스현]식품브랜드파머스현(famershyun)이건강보조식품부터유기농식품까지생활전반에걸친다양한제품을선보이며눈길을끌고있다.16일업계에따르면파머스현은가족을위해건강한재료로식탁을꾸리는농부의마음을담아‘고려활기배도라지홍삼’‘유기농베리진’.‘생기진단’‘고려활기홍삼정스틱’등의제품을선보이고있다.고려활기배도라지홍삼은청정자연과함께자란6년근홍삼을사용한간편섭취제품이다.이제품은보존료와소포제감미료합성향료색소와점증제를일제포함하지않았다.식품의약품안전처인증시설에서제조돼도라지와생강흑마늘등부원료도다수포함하고있다.https://www.ajunews.com/util/popPrint.php?nid=202011131605435221/2x0c2021.7.25.AJU유기농베리진은100%유기농원료의5가지과일을한포에담은식품이다.유기농배와딸기블루베리xa0아로니아와복분자가함유됐다.유기농베리진역시감미료와정제수등이일체들어가지않았다.생기진단은하루에필요한영양을모두담았다.국내산배와생강도라지마늘과강황등을원재료그대로를한포에담았다.단맛을내기위한설탕과감미료가전혀포함되지않았으며독자적인특별한원료의배합으로만들어진것이특징이다.고려활기홍삼정스틱은바쁜일상속간편하게건강을챙길수있는제품이다.홍삼대표유효성분인사포닌진세노사이드를한포에7mg을포함하고있고배와도라지흑마늘등국내산7가지재료가들어갔다.현요셉파머스현대표는“가족과같은마음으로고객건강을최우선하는파머스현은믿을수있는제품만xa0제공하고있다”고말했다.조재형xa0기자(grind@ajunews.com)?'5개국어글로벌경제신문'아주경제.무단전재·재배포금지https://www.ajunews.com/util/popPrint.php?nid=202011131605435222/2x0c""",높음
"""2021.7.25.통째로갈아넣어영양그대로…참다한홍삼정프리미엄스틱아시아경제기사프린트하기통째로갈아넣어영양그대로…참다한홍삼정프리미엄스틱기사입력2020.09.1815:13최종수정2020.09.1815:13[아시아경제최신혜기자]최근추석명절을앞두고건강식품의판매가크게늘어난가운데프리미엄홍삼브랜드참다한홍삼의'참다한홍삼정프리미엄스틱'이인기를끌고있다.이제품은참다한의스테디셀러인홍삼정농축액을간편하게짜먹을수있도록스틱형파우치에담아낸것이다.일반홍삼스틱에서는찾아볼수없는뛰어난기술력과독특한제조방식으로중장년층은물론20~30대젊은층에서도큰사랑을받고있다.참다한의홍삼스틱은홍삼을물에넣고달이는일반제조법을사용하는대신홍삼을통째로갈아넣는온체식제조법과초미세분쇄기술을사용해높은수준의품질을자랑한다.www.asiae.co.kr/news/print.htm?idxno=2020091815153735145udt=11/2x0c2021.7.25.통째로갈아넣어영양그대로…참다한홍삼정프리미엄스틱일반적으로홍삼은물에넣고달일경우물에녹는56.4%의수용성성분만추출할수있다.이에물추출방식으로홍삼제품을만들면전체성분의절반밖에담지못한다.반면홍삼을통째로갈아넣는참다한의온체식제조법은버려지는것없이홍삼의모든영양분을그대로섭취할수있다.홍삼의수용성성분은물론이고물달임할때버려지는홍삼박속의불용성영양분까지그대로제품에담아냄으로써영양함량이월등히높다.또참다한은홍삼을통째로갈때일반분쇄가아닌초미세분쇄기술을사용하기때문에인체흡수율도최대로높아진다.홍삼입자를머리카락굵기의10분의1인7~8㎛크기까지잘게분쇄함으로써평소소화효소가부족해홍삼성분을잘흡수하지못하던사람들도충분히흡수할수있도록입자크기를최소화했다.최신혜기자ssin@asiae.co.kr<ⓒ경제를보는눈세계를보는창아시아경제(www.asiae.co.kr)무단전재배포금지>www.asiae.co.kr/news/print.htm?idxno=2020091815153735145udt=12/2x0c""",높음
"""2021.7.25.MK뉴스기사취xa0xa0소[제약]CJ제일제당`한뿌리흑삼지천보진(眞)`흑삼농축액듬뿍…면역력증강에`딱`기자입력:2020.05.2004:01:03xa0면역력은외부여러유해요인으로부터우리몸을지키는힘이다.건강을유지하기위해면역력은매우중요하다.특히면역력이약한장·노년층이나어린이들은더각별히신경써야한다.충분한휴식과영양섭취적절한운동은면역력을키우기위한기본요건이다.면역력증진에도움을줄수있는건강기능식품을섭취하는것도좋은방법이다.CJ제일제당의'한뿌리흑삼지천보진(眞)'이추천되는이유다.구증구포흑삼으로만든CJ제일제당의흑삼지천보진은면역력증진과피로개선혈소판응집억제를통한혈액흐름개선기억력개선항산화에도움을줄수있다.흑·홍삼의5대기능성을모두인정받은건강기능식품이다.요즘가장필요한면역력은물론이고나이가들수록걱정되는혈행문제와기억력항산화등에도움을줄수있다.구증구포는인삼을찌고말리는걸아홉차례반복해유효성분을증가시키는가공방법을말한다.조선왕실에서도사용됐던전통적인방법이다.인삼을구증구포하면색이검게변하면서https://www.mk.co.kr/news/print/2020/5132141/2x0c2021.7.25.MK뉴스기사삼의유효성분인진세노사이드(Rb1+Rg1+Rg3)성분이크게증가한다.흑삼지천보진은CJ제일제당건강케어센터(080-997-9988)를통해서만구입할수있는프리미엄제품이다.5월한정으로3개월분구매시편안한속을위한소화효소에홍삼성분을플러스한리턴업발효효소홍삼플러스2개월분을얻을수있다.[ⓒ매일경제mk.co.kr무단전재및재배포금지]https://www.mk.co.kr/news/print/2020/5132142/2x0c""",높음
2021.7.25.서울비즈국내산6년근홍삼으로‘체력일발장전’일양약품‘홍삼6종’입력:2020-03-3017:28ㅣ수정:2020-03-3109:01일양약품의‘홍삼6종’은건강관리에소홀하기쉬운현대인들이간편하게섭취할수있는6종의홍삼건강기능식품이다.먼저‘6년근발효홍삼정’은국내산6년근발효홍삼농축액100%를사용해체내흡수율을높였다.면역력증진피로·기억력개선에대해식약처에서인정받았다는게일양약품관계자의설명이다.‘6년근데일리홍삼정’은스틱형파우치제품으로간편하게먹을수있다.쓰지않고부드러운맛을낸다.‘홍삼보감명작’은진세노사이드합(Rg1·Rb1·Rg3)10㎎을함유해피로에지친현대인에게도움을줄수있는제품이다.‘태황력’은정품장6년근홍삼및영지대추벌꿀오자등을부원료를함유했고면역력증진이필요한소비자를겨냥한제품이다.‘어린이튼튼홍삼면역젤리’는온종일컴퓨터와스마트폰을사용하는아이들을위해국내산6년홍삼아연비타민D를넣은오렌지맛젤리형건강기능식품이다.스틱포로만들어언제어디서나간편하게섭취할수있다.‘코코몽홍삼키즈쑥쑥’은국내산6년근홍삼농축액과더불어체내에생성되지않는8종필수아미노산과과일채소분말을부원료로엄선해담았다.멜론맛이난다.한편일양약품의‘정품장’은일양약품전통의기술력과노하우로만든홍삼건강기능식품이다.현대인의건강관리에도움줄수있도록엄선한원료와각종좋은원료에기능성원료를더했다.‘홍삼’‘녹용’‘발효홍삼정’등다양한라인업을갖췄다.김태곤객원기자kim@seoul.co.krCopyrightⓒ서울신문사Allrightsreserved.https://biz.seoul.co.kr/news/seoulPrintNew.php?id=202003310360051/1x0c',높음
"""2021.7.25.MK뉴스기사취xa0xa0소동원FB`천지인홍삼정명작`상위3%홍삼10뿌리로면역력`쑥`이호승기자입력:2020.03.3004:01:03xa0◆면역력을키우자◆홍삼은식품의약품안전처에서면역력증진피로해소혈소판응집억제를통한혈액흐름기억력개선항산화등효능을공식적으로인정받은건강기능식품이다.동원FB'천지인홍삼정명작(名作)'은6년근지삼급홍삼을엄선해무려홍삼10뿌리를농축해담은최고급프리미엄제품이다.지삼(地蔘)은외형과조직치밀도표면상태색상등품질이상위3%에속하는최고등급뿌리삼을말한다.천지인홍삼정명작은다른첨가물을넣지않고온전히물만을사용해추출한100%홍삼농축액으로뿌리삼을진하게달여내면역력증진에효과적인사포닌과산성다당체유효성분함량을극대화했다.또일일권장섭취량3g당홍삼의기능성분인진세노사이드Rg1Rb1.Rg3의합이21㎎에달하며가격은100g기준11만원에불과하다.경쟁사유사제품의기능성분함량이3g당18.6㎎이면서가격은100g기준29만원으로무려2.5배를넘는것에비하면천지인홍삼정명작은매우합리적이고가성비가높은제품이라고할수있다.https://www.mk.co.kr/news/print/2020/3248541/2x0c2021.7.25.MK뉴스기사동원FB'천지인홍삼'은2007년탄생한홍삼전문브랜드로엄격한품질관리와제조노하우를바탕으로프리미엄제품들은물론연령성별등을고려한맞춤형제품들을선보이고있다.특히거품을뺀합리적인가격으로구성돼소비자들이부담없이양질의홍삼제품을섭취할수있다.동원FB는홍삼수매부터제품생산까지모든과정을직접진행한다.200여가지에이르는엄격한품질검사를통과한제품만소비자들에게선보여깊이있는맛과효능을자랑한다.[이호승기자][ⓒ매일경제mk.co.kr무단전재및재배포금지]https://www.mk.co.kr/news/print/2020/3248542/2x0c""",높음
"""2021.7.25.[귀한분귀한설선물]참다한홍삼잃어버린활력'갱년기로힘든당신께'아시아경제기사프린트하기[귀한분귀한설선물]참다한홍삼잃어버린활력'갱년기로힘든당신께'기사입력2020.01.1614:00최종수정2020.01.1910:57[아시아경제이선애기자]홍삼브랜드참다한홍삼이활력이부족한남성과갱년기여성들을위한건강기능식품‘다시남자’‘다시여자’2종을선보여좋은반응을얻고있다.‘다시남자’는대한민국대표건강식품인홍삼을베이스로남성스테미너에좋은각종전통원료를배합한제품이다.홍삼분말과마카헛개나무오미자복분자구기자등을더해피로에지친남성의삶에확실한활력을선사한다.www.asiae.co.kr/news/print.htm?idxno=2020011408041700764udt=11/2x0c2021.7.25.[귀한분귀한설선물]참다한홍삼잃어버린활력'갱년기로힘든당신께'‘다시여자’는홍삼과함께백수오등복합추출물인‘에스트로지’를주원료로사용한것이특징이다.식품의약품안전처인증기능성원료인‘에스트로지’는여성호르몬제의일종으로여성건강은물론갱년기극복에도큰도움을줄수있다.실제에스트로지가갱년기지표(쿠퍼만인덱)의10가지항목을개선하는것이인체시험결과확인됐다.참다한홍삼관계자는“‘다시남자’‘다시여자’는바쁜일상에지치고힘든중년남녀의활력을북돋아줄수있는새로운타입의건강기능식품”이라며“남성과여성에게필요한성분을다르게배합체내흡수율까지고려한과학적설계로활력을잃고갱년기와싸우는많은부부들의건강을다시일으켜줄것”이라고말했다.‘다시남자’와‘다시여자’는1일1회1포섭취하는스틱형농축액타입으로세트당가격은‘다시남자’6만9000원(12g30포)‘다시여자’8만9000원(12g30포)이다.이선애기자lsa@asiae.co.kr<ⓒ경제를보는눈세계를보는창아시아경제(www.asiae.co.kr)무단전재배포금지>www.asiae.co.kr/news/print.htm?idxno=2020011408041700764udt=12/2x0c""",높음
2021.7.25.기사인쇄[경향2019하반기HIT상품]하이모-홍삼하이생복합발효로홍삼성분과효소동시섭취2019-12-1922:07입력2019-12-1922:09수정소화불량과면역력체력저하로인해생길수있는겨울철질환에도움이되는대표적인건강식품이바로홍삼과효소다.홍삼은식품의약품안전처로부터면역력증진·피로개선·항산화·기억력개선·혈소판응집억제를통한혈액흐름에도움을줄수있는5대기능성을인정받을정도로오래전부터지금까지도한국인들이가장선호하는건강식품이다.효소는혈액속에서생체기능이원활하게되는것을돕는촉매제로서의역할을하는데영양분이우리몸속에필요한곳까지골고루소화·흡수될수있도록한다.발효현미효소식품브랜드하이생의홍삼하이생은홍삼의주요성분을체내흡수를더욱높이고소화가잘되도록도움을주는더블효과로대표적인겨울철건강기능식품으로각광받고있다.https://www.khan.co.kr/print.html?art_id=201912192207045media=khan1/2x0c2021.7.25.기사인쇄홍삼하이생은복합발효기술의연구·개발을통해홍삼과현미·미강·대두를황국균과유산균으로발효해홍삼의유효성분과효소를동시에섭취할수있다.최적의발효효율을나타낼수있는시간과온도에서생산해홍삼의유효성분스트레스가많은직장인점차기억력이감퇴되는중년의주부혈액순환이필요한가족과체질이약한어린이등온흡수율을더욱높인것이특징이다.가족의건강에도움을준다.ⓒ경향신문경향닷컴무단전재및재배포금지CopyrightⓒTheKyunghyangShinmunAllrightsreserved.https://www.khan.co.kr/print.html?art_id=201912192207045media=khan2/2x0c',높음
2021.7.25.기사인쇄[경향2019하반기HIT상품]하이모-홍삼하이생복합발효로홍삼성분과효소동시섭취2019-12-1922:07입력2019-12-1922:09수정소화불량과면역력체력저하로인해생길수있는겨울철질환에도움이되는대표적인건강식품이바로홍삼과효소다.홍삼은식품의약품안전처로부터면역력증진·피로개선·항산화·기억력개선·혈소판응집억제를통한혈액흐름에도움을줄수있는5대기능성을인정받을정도로오래전부터지금까지도한국인들이가장선호하는건강식품이다.효소는혈액속에서생체기능이원활하게되는것을돕는촉매제로서의역할을하는데영양분이우리몸속에필요한곳까지골고루소화·흡수될수있도록한다.발효현미효소식품브랜드하이생의홍삼하이생은홍삼의주요성분을체내흡수를더욱높이고소화가잘되도록도움을주는더블효과로대표적인겨울철건강기능식품으로각광받고있다.https://www.khan.co.kr/print.html?art_id=201912192207045media=khan1/2x0c2021.7.25.기사인쇄홍삼하이생은복합발효기술의연구·개발을통해홍삼과현미·미강·대두를황국균과유산균으로발효해홍삼의유효성분과효소를동시에섭취할수있다.최적의발효효율을나타낼수있는시간과온도에서생산해홍삼의유효성분스트레스가많은직장인점차기억력이감퇴되는중년의주부혈액순환이필요한가족과체질이약한어린이등온흡수율을더욱높인것이특징이다.가족의건강에도움을준다.ⓒ경향신문경향닷컴무단전재및재배포금지CopyrightⓒTheKyunghyangShinmunAllrightsreserved.https://www.khan.co.kr/print.html?art_id=201912192207045media=khan2/2x0c',높음
